School,Year,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Air Force,2000-2001,29,8,21,0.276,-3.56,1.99,,3,11,,6,9,,1,11,,1667,1828,,58.0,98.8,0.383,0.546,0.564,43.1,67.5,12.5,6.5,0.533,20.7,23.0,0.267
Akron,2000-2001,28,12,16,0.429,-3.09,1.66,,9,9,,8,5,,4,9,,1901,2034,,66.3,101.9,0.494,0.322,0.568,46.3,61.8,8.6,7.6,0.522,21.0,30.3,0.359
Alabama,2000-2001,36,25,11,0.694,14.04,6.29,,8,8,,18,1,,2,7,,2761,2482,,70.9,106.7,0.406,0.323,0.526,54.7,46.0,9.9,11.9,0.486,17.3,41.5,0.283
Alabama A&M,2000-2001,28,17,11,0.607,-13.45,-11.93,,13,5,,11,2,,5,9,,2056,2089,,77.8,93.1,0.348,0.282,0.464,49.2,52.2,15.3,7.1,0.432,17.6,38.7,0.218
Alabama State NCAA,2000-2001,31,22,9,0.710,-8.99,-13.74,,15,3,,11,2,,8,5,,2135,1980,,68.7,98.7,0.406,0.295,0.522,49.5,54.2,12.0,6.9,0.489,20.0,34.0,0.267
Albany (NY),2000-2001,28,6,22,0.214,-18.86,-8.66,,,,,4,9,,1,12,,1928,2169,,71.1,94.4,0.303,0.267,0.509,46.0,44.4,11.0,6.5,0.480,18.4,27.4,0.204
Alcorn State,2000-2001,30,15,15,0.500,-12.20,-10.90,,13,5,,8,2,,6,10,,2245,2283,,,98.5,0.417,0.266,0.523,51.5,46.7,10.0,7.5,0.482,21.2,38.1,0.289
American,2000-2001,27,7,20,0.259,-10.33,-2.81,,3,13,,6,7,,1,13,,1579,1782,,65.4,89.0,0.329,0.260,0.464,51.7,49.2,7.7,11.6,0.443,20.2,35.4,0.188
Appalachian State,2000-2001,31,11,20,0.355,-12.13,-4.24,,7,9,,6,8,,5,9,,2005,2186,,68.2,94.5,0.334,0.255,0.505,53.6,59.8,9.1,6.7,0.472,21.6,38.1,0.225
Arizona NCAA,2000-2001,36,28,8,0.778,26.85,12.56,,15,3,,13,2,,7,3,,2926,2386,,72.6,111.5,0.441,0.255,0.568,54.5,57.6,10.8,10.7,0.522,17.5,40.0,0.330
Arizona State,2000-2001,29,13,16,0.448,11.10,9.00,,5,13,,10,7,,2,8,,2121,2060,,72.3,100.8,0.388,0.203,0.510,54.1,58.8,8.7,11.3,0.473,18.0,39.1,0.261
Arkansas NCAA,2000-2001,31,20,11,0.645,17.25,6.15,,10,6,,16,2,,3,7,,2476,2132,,74.2,106.8,0.321,0.372,0.540,46.3,54.0,15.7,10.6,0.511,16.4,34.6,0.222
Arkansas State,2000-2001,30,17,13,0.567,-4.21,-2.75,,10,6,,9,4,,6,8,,2189,2168,,,103.6,0.337,0.304,0.536,50.0,51.9,7.3,11.6,0.505,17.8,33.6,0.234
Arkansas-Pine Bluff,2000-2001,27,2,25,0.074,-31.46,-8.35,,2,16,,2,8,,0,17,,1660,2284,,77.3,79.1,0.327,0.248,0.432,45.1,44.0,10.0,7.4,0.403,21.5,30.3,0.193
Army,2000-2001,28,9,19,0.321,-15.73,-7.65,,3,9,,7,7,,2,11,,2015,2201,,73.4,96.3,0.503,0.279,0.541,46.7,48.0,8.1,4.6,0.482,21.1,28.9,0.377
Auburn,2000-2001,32,18,14,0.563,11.51,7.16,,7,9,,14,5,,2,7,,2477,2338,,71.3,105.3,0.335,0.314,0.523,50.5,54.0,11.3,12.2,0.497,16.0,37.6,0.218
Austin Peay,2000-2001,32,22,10,0.688,-0.18,-3.28,,10,6,,11,1,,6,8,,2510,2397,,67.9,113.7,0.347,0.276,0.584,53.1,50.5,8.6,11.0,0.558,17.7,39.4,0.244
Ball State,2000-2001,30,18,12,0.600,3.12,0.30,,11,7,,9,6,,7,5,,2092,1993,,65.3,106.4,0.293,0.275,0.529,53.8,48.6,7.8,8.9,0.507,16.9,39.1,0.191
Baylor,2000-2001,31,19,12,0.613,7.39,2.56,,6,10,,14,3,,3,8,,2209,2001,,69.5,101.7,0.385,0.360,0.534,49.7,60.3,12.6,6.6,0.502,17.7,30.7,0.259
Belmont,2000-2001,28,13,15,0.464,-9.73,-5.42,,,,,9,2,,3,12,,2133,2202,,69.5,107.1,0.328,0.489,0.554,49.9,68.2,7.6,4.2,0.518,18.0,34.0,0.244
Bethune-Cookman,2000-2001,29,10,19,0.345,-17.81,-10.37,,5,13,,8,6,,1,12,,1822,1976,,69.3,89.8,0.479,0.243,0.482,49.2,39.2,10.2,5.5,0.438,20.9,34.1,0.306
Boise State,2000-2001,31,17,14,0.548,-0.69,-0.21,,8,8,,10,2,,6,9,,2237,2230,,70.0,101.0,0.367,0.282,0.536,48.3,53.4,9.7,8.0,0.505,18.1,31.5,0.248
Boston College NCAA,2000-2001,32,27,5,0.844,17.99,5.19,,13,3,,17,0,,6,4,,2547,2129,,70.1,113.6,0.407,0.337,0.552,51.3,52.8,14.5,8.2,0.514,15.5,41.6,0.289
Boston University,2000-2001,28,14,14,0.500,-5.30,-5.83,,9,9,,8,4,,5,9,,1913,1898,,66.2,102.7,0.354,0.346,0.519,51.4,52.9,10.2,5.9,0.477,16.9,35.0,0.258
Bowling Green State,2000-2001,29,15,14,0.517,1.99,1.40,,10,8,,10,4,,5,9,,2202,2110,,70.4,107.4,0.453,0.225,0.577,49.9,58.1,10.8,8.9,0.527,18.2,30.3,0.348
Bradley,2000-2001,31,19,12,0.613,3.15,1.75,,12,6,,13,2,,3,8,,2045,1972,,64.7,100.7,0.405,0.284,0.539,52.9,57.7,8.1,11.4,0.492,18.6,30.8,0.303
Brigham Young NCAA,2000-2001,33,24,9,0.727,10.95,3.48,,10,4,,15,0,,4,6,,2324,2069,,64.8,108.7,0.515,0.299,0.576,50.2,55.6,9.5,9.3,0.516,17.7,29.5,0.402
Brown,2000-2001,27,15,12,0.556,-8.92,-6.78,,9,5,,10,2,,5,10,,1968,2026,,,100.1,0.432,0.302,0.540,50.8,56.3,10.7,6.6,0.502,20.6,34.9,0.298
Bucknell,2000-2001,29,14,15,0.483,-12.19,-6.27,,4,8,,9,4,,4,11,,1909,2041,,70.3,92.8,0.494,0.232,0.501,49.1,50.9,10.5,7.9,0.467,20.7,32.4,0.304
Buffalo,2000-2001,28,4,24,0.143,-9.03,0.69,,2,16,,3,10,,0,13,,1873,2145,,68.6,95.9,0.391,0.342,0.510,48.5,51.3,9.5,6.0,0.478,19.5,31.9,0.255
Butler NCAA,2000-2001,32,24,8,0.750,12.55,3.98,,11,3,,13,1,,7,6,,2228,1946,,62.9,109.8,0.397,0.376,0.570,47.8,51.4,10.9,7.5,0.536,16.2,31.9,0.284
Cal Poly,2000-2001,28,9,19,0.321,-8.23,-1.32,,3,13,,6,9,,3,9,,2241,2273,,74.0,106.3,0.413,0.324,0.531,52.8,43.2,8.4,8.6,0.494,16.7,37.3,0.282
Cal State Fullerton,2000-2001,28,5,23,0.179,-13.24,-0.20,,3,13,,3,11,,2,11,,1657,1964,,,90.4,0.438,0.353,0.513,46.0,58.8,8.2,5.7,0.470,22.4,28.4,0.300
Cal State Northridge NCAA,2000-2001,32,22,10,0.688,5.95,0.25,,13,3,,13,1,,8,6,,2650,2409,,74.1,111.3,0.470,0.297,0.588,50.7,66.8,11.2,6.1,0.553,17.8,33.9,0.333
California NCAA,2000-2001,31,20,11,0.645,14.77,9.09,,11,7,,14,3,,5,7,,2304,2128,,69.6,105.5,0.431,0.296,0.563,49.3,62.5,10.3,6.1,0.530,17.2,27.9,0.295
Campbell,2000-2001,28,7,21,0.250,-16.75,-7.36,,5,13,,4,7,,3,13,,1819,2082,,66.6,96.7,0.290,0.270,0.500,48.0,49.6,8.2,7.9,0.472,18.1,34.1,0.193
Canisius,2000-2001,31,20,11,0.645,-2.11,-4.63,,9,9,,12,3,,7,8,,2395,2317,,71.3,107.0,0.382,0.325,0.548,49.7,58.8,8.9,7.6,0.515,15.9,32.7,0.264
Centenary (LA),2000-2001,27,8,19,0.296,-13.05,-1.50,,,,,8,3,,0,15,,1854,2036,,,,0.429,0.274,0.515,50.9,47.2,,5.5,0.459,17.9,,0.323
Central Connecticut State,2000-2001,28,14,14,0.500,-8.79,-10.18,,11,9,,8,5,,6,7,,2050,2011,,70.1,103.6,0.423,0.266,0.530,54.7,47.5,10.6,9.2,0.489,19.4,41.0,0.295
Central Michigan,2000-2001,28,20,8,0.714,0.98,0.01,,14,4,,13,1,,7,6,,1998,1901,,66.7,106.1,0.528,0.272,0.583,51.9,55.9,8.9,7.0,0.536,19.9,31.4,0.387
Charleston Southern,2000-2001,29,10,19,0.345,-16.14,-7.06,,6,8,,7,6,,2,10,,1860,2086,,69.7,90.8,0.366,0.265,0.500,49.3,51.0,13.8,8.7,0.470,22.2,34.4,0.234
Charlotte NCAA,2000-2001,33,22,11,0.667,14.24,7.91,,10,6,,10,2,,7,7,,2583,2374,,71.9,108.4,0.389,0.424,0.546,50.1,54.0,9.7,7.3,0.513,15.0,33.0,0.266
Chattanooga,2000-2001,30,17,13,0.567,-2.12,-3.79,,9,7,,12,2,,3,9,,2195,2094,,67.9,106.4,0.443,0.339,0.548,52.7,55.4,9.8,5.7,0.508,18.7,39.0,0.311
Chicago State,2000-2001,28,5,23,0.179,-15.14,-1.28,,2,14,,3,9,,2,13,,1776,2120,,68.9,91.3,0.288,0.254,0.493,50.3,55.9,8.8,9.2,0.471,21.6,35.0,0.177
Cincinnati NCAA,2000-2001,35,25,10,0.714,16.19,7.85,,11,5,,11,3,,7,5,,2586,2294,,66.2,110.0,0.366,0.289,0.531,49.5,49.0,8.3,8.9,0.495,13.5,36.9,0.255
